Name
1. The Shawshank Redemption
2. The Godfather
3. The Dark Knight
4. The Godfather Part II
5. Schindler's List
6. The Lord of the Rings: The Return of the King
7. 12 Angry Men
8. The Lord of the Rings: The Fellowship of the Ring
9. Pulp Fiction
10. Inception
11. Fight Club
12. Forrest Gump
13. The Lord of the Rings: The Two Towers
"14. The Good, the Bad and the Ugly"
15. 12th Fail
16. Interstellar
17. Goodfellas
18. The Matrix
19. One Flew Over the Cuckoo's Nest
20. Star Wars: Episode V - The Empire Strikes Back
21. Jai Bhim
22. The Silence of the Lambs
23. Se7en
24. Saving Private Ryan
25. The Green Mile
26. Spider-Man: Across the Spider-Verse
27. City of God
28. Spirited Away
29. Star Wars: Episode IV - A New Hope
30. Terminator 2: Judgment Day
31. It's a Wonderful Life
32. Life Is Beautiful
33. Seven Samurai
34. Harakiri
35. Gladiator
36. Dune: Part Two
37. Alien
38. Parasite
39. Léon: The Professional
40. Whiplash
41. The Prestige
42. The Departed
43. Back to the Future
44. Django Unchained
45. The Lion King
46. The Usual Suspects
47. Psycho
48. American History X
49. Once Upon a Time in the West
50. The Pianist
51. Maharaja
52. The Intouchables
53. Casablanca
54. Grave of the Fireflies
55. Rear Window
56. Cinema Paradiso
57. City Lights
58. Modern Times
59. Joker
60. Coco
61. Inglourious Basterds
62. The Shining
63. Avengers: Endgame
64. The Dark Knight Rises
65. Aliens
66. Memento
67. Apocalypse Now
68. Avengers: Infinity War
69. Raiders of the Lost Ark
70. WALL·E
71. Spider-Man: Into the Spider-Verse
72. Your Name.
73. Amadeus
74. The Lives of Others
75. Capernaum
76. Sunset Boulevard
77. Das Boot
78. 3 Idiots
79. Witness for the Prosecution
80. Paths of Glory
81. The Great Dictator
82. High and Low
83. The Wild Robot
84. Oppenheimer
85. Good Will Hunting
86. Eternal Sunshine of the Spotless Mind
87. Requiem for a Dream
88. American Beauty
89. Heat
90. Come and See
91. Oldboy
92. Scarface
93. Braveheart
94. 2001: A Space Odyssey
95. Once Upon a Time in America
96. The Hunt
97. North by Northwest
98. Toy Story
99. Incendies
100. Hamilton
101. Reservoir Dogs
102. Up
103. Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
104. Amélie
105. Princess Mononoke
106. Lawrence of Arabia
107. Toy Story 3
108. Star Wars: Episode VI - Return of the Jedi
109. Metropolis
110. Vertigo
111. Citizen Kane
112. To Kill a Mockingbird
113. Singin' in the Rain
114. The Apartment
115. The Sting
116. A Separation
117. M
118. Dangal
119. Double Indemnity
120. Ikiru
121. Judgment at Nuremberg
122. Like Stars on Earth
123. Bicycle Thieves
124. The Wolf of Wall Street
125. Spider-Man: No Way Home
126. Jurassic Park
127. Top Gun: Maverick
128. The Thing
129. Prisoners
130. Shutter Island
131. The Sixth Sense
132. Batman Begins
133. Unforgiven
134. No Country for Old Men
135. Taxi Driver
136. Die Hard
137. Green Book
138. The Truman Show
139. There Will Be Blood
140. Full Metal Jacket
141. 1917
142. A Clockwork Orange
143. Snatch
144. Casino
145. Kill Bill: Vol. 1
146. Pan's Labyrinth
147. Howl's Moving Castle
148. A Beautiful Mind
149. Finding Nemo
150. Downfall
151. Gone with the Wind
152. L.A. Confidential
153. Indiana Jones and the Last Crusade
154. Klaus
155. The Father
156. The Great Escape
157. The Secret in Their Eyes
158. Monty Python and the Holy Grail
159. Some Like It Hot
160. The Elephant Man
161. For a Few Dollars More
162. Ran
163. All About Eve
164. Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train
165. Rashomon
166. Dial M for Murder
167. Yojimbo
168. Children of Heaven
169. The Treasure of the Sierra Madre
170. A Man Escaped
171. My Father and My Son
172. The Kid
173. Sherlock Jr.
174. V for Vendetta
175. Pirates of the Caribbean: The Curse of the Black Pearl
176. Dead Poets Society
177. Inside Out
178. Harry Potter and the Deathly Hallows: Part 2
179. Mad Max: Fury Road
180. The Wizard of Oz
181. The Exorcist
182. The Handmaiden
183. The Big Lebowski
184. Hacksaw Ridge
185. Gone Girl
186. Ratatouille
187. Catch Me If You Can
188. Jaws
189. Blade Runner
190. The Terminator
191. Stand by Me
192. The Help
193. The Grand Budapest Hotel
194. Platoon
195. Logan
196. The Deer Hunter
"197. Monsters, Inc."
198. Fargo
199. Trainspotting
200. Into the Wild
201. Memories of Murder
"202. Paris, Texas"
203. Ford v Ferrari
204. The Sound of Music
205. How to Train Your Dragon
206. Warrior
"207. Three Billboards Outside Ebbing, Missouri"
208. Rocky
209. 12 Years a Slave
210. Before Sunrise
211. Million Dollar Baby
212. Network
213. Spotlight
214. Room
215. Rush
216. The Best Years of Our Lives
"217. Lock, Stock and Two Smoking Barrels"
218. Gran Torino
219. Chinatown
220. My Neighbor Totoro
221. Wild Tales
222. Ben-Hur
223. The Third Man
224. Barry Lyndon
225. The Seventh Seal
226. Hachi: A Dog's Tale
227. The Iron Giant
228. Raging Bull
229. La haine
230. In the Name of the Father
231. Before Sunset
232. Mary and Max
233. On the Waterfront
234. Rebecca
235. The Bridge on the River Kwai
236. Mr. Smith Goes to Washington
237. Hotel Rwanda
238. Tokyo Story
239. The Grapes of Wrath
240. The Wages of Fear
241. The Battle of Algiers
242. Wild Strawberries
243. To Be or Not to Be
244. The Passion of Joan of Arc
245. The General
246. The Gold Rush
247. The Incredibles
248. Groundhog Day
249. Cool Hand Luke
250. Amores Perros
