Movie,Top Genre,Top Percentage,All Genres
A Silent Voice_ The Movie,,0.0,
A Streetcar Named Desire,Drama,32.20338983050847,"Drama: 32.20%, Comedy: 8.47%, Thriller: 8.47%, Fantasy: 6.21%, Adventure: 6.21%, Mystery: 5.65%, Sci-Fi: 5.08%, Animation: 4.52%, Action: 3.95%, Family: 3.95%, Crime: 3.39%, War: 3.39%, Romance: 2.82%, Music: 1.69%, Musical: 1.13%, Biography: 1.13%, Horror: 1.13%, Short: 0.56%"
Aavesham,Drama,31.40495867768595,"Drama: 31.40%, Adventure: 10.74%, Action: 9.09%, Sci-Fi: 8.26%, Crime: 6.61%, Fantasy: 6.61%, Comedy: 5.79%, Thriller: 5.79%, Horror: 3.31%, Romance: 3.31%, Mystery: 3.31%, Family: 2.48%, Animation: 1.65%, Sport: 0.83%, War: 0.83%"
About Elly,Drama,23.853211009174313,"Drama: 23.85%, Comedy: 12.84%, Adventure: 11.93%, Action: 7.34%, Family: 7.34%, Fantasy: 7.34%, Crime: 6.42%, Animation: 6.42%, Romance: 3.67%, Mystery: 2.75%, War: 2.75%, Sci-Fi: 2.75%, Thriller: 1.83%, Music: 0.92%, Musical: 0.92%, Sport: 0.92%"
Akira,Drama,34.34022257551669,"Drama: 34.34%, Action: 10.97%, Sci-Fi: 7.63%, Thriller: 7.00%, Adventure: 6.84%, Fantasy: 6.68%, Comedy: 6.68%, Crime: 3.34%, War: 3.18%, Family: 3.02%, Animation: 2.86%, Mystery: 2.70%, Romance: 1.59%, Horror: 1.27%, Biography: 0.95%, Sport: 0.32%, Film-Noir: 0.32%, Music: 0.16%, History: 0.16%"
Alien Resurrection,Drama,17.435897435897434,"Drama: 17.44%, Sci-Fi: 16.92%, Adventure: 10.26%, Action: 9.74%, Comedy: 7.69%, Animation: 7.69%, Fantasy: 7.18%, Family: 6.15%, Thriller: 5.64%, Horror: 3.08%, Crime: 2.05%, Mystery: 1.54%, Biography: 1.54%, War: 1.54%, History: 1.03%, Romance: 0.51%"
Alien vs. Predator,Adventure,18.562874251497004,"Adventure: 18.56%, Drama: 16.17%, Sci-Fi: 13.77%, Action: 12.57%, Thriller: 8.98%, Horror: 5.99%, Fantasy: 5.99%, Family: 4.19%, Mystery: 4.19%, Animation: 3.59%, Crime: 2.99%, Comedy: 1.20%, Short: 0.60%, Biography: 0.60%, War: 0.60%"
Alien,Drama,29.736842105263158,"Drama: 29.74%, Sci-Fi: 16.05%, Thriller: 11.58%, Adventure: 10.53%, Action: 4.74%, Comedy: 3.95%, Fantasy: 3.95%, Horror: 2.89%, Family: 2.89%, Animation: 2.63%, Biography: 1.84%, History: 1.84%, War: 1.84%, Mystery: 1.58%, Romance: 1.32%, Crime: 1.32%, Sport: 0.79%, Western: 0.26%, Music: 0.26%"
Aliens,Sci-Fi,20.574162679425836,"Sci-Fi: 20.57%, Drama: 18.66%, Adventure: 15.31%, Action: 8.61%, Thriller: 6.70%, Animation: 3.83%, Fantasy: 3.83%, War: 3.83%, Horror: 2.87%, Family: 2.87%, Comedy: 2.87%, Short: 2.87%, Mystery: 2.39%, Biography: 1.91%, Crime: 1.44%, Romance: 0.48%, Music: 0.48%, History: 0.48%"
Alien_ Covenant,Drama,23.170731707317074,"Drama: 23.17%, Sci-Fi: 16.46%, Adventure: 13.41%, Thriller: 12.20%, Action: 8.54%, Crime: 5.49%, Horror: 4.88%, Comedy: 3.66%, Fantasy: 3.66%, Mystery: 1.83%, War: 1.83%, Music: 1.83%, Animation: 1.22%, Family: 1.22%, Romance: 0.61%"
Alien_ Earth,,0.0,
Alien_ Romulus,Drama,29.736842105263158,"Drama: 29.74%, Sci-Fi: 16.05%, Thriller: 11.58%, Adventure: 10.53%, Action: 4.74%, Comedy: 3.95%, Fantasy: 3.95%, Horror: 2.89%, Family: 2.89%, Animation: 2.63%, Biography: 1.84%, History: 1.84%, War: 1.84%, Mystery: 1.58%, Romance: 1.32%, Crime: 1.32%, Sport: 0.79%, Western: 0.26%, Music: 0.26%"
Alien³,Drama,29.736842105263158,"Drama: 29.74%, Sci-Fi: 16.05%, Thriller: 11.58%, Adventure: 10.53%, Action: 4.74%, Comedy: 3.95%, Fantasy: 3.95%, Horror: 2.89%, Family: 2.89%, Animation: 2.63%, Biography: 1.84%, History: 1.84%, War: 1.84%, Mystery: 1.58%, Romance: 1.32%, Crime: 1.32%, Sport: 0.79%, Western: 0.26%, Music: 0.26%"
All About Eve,Drama,28.666666666666668,"Drama: 28.67%, Thriller: 10.67%, Comedy: 10.00%, Adventure: 8.00%, Fantasy: 6.67%, Mystery: 6.00%, Crime: 5.33%, Family: 4.67%, Animation: 4.33%, Sci-Fi: 3.67%, Action: 3.00%, Romance: 2.67%, Music: 2.00%, War: 1.67%, Horror: 1.67%, Biography: 1.00%"
All Quiet on the Western Front,Drama,39.08045977011494,"Drama: 39.08%, Action: 11.49%, Thriller: 7.66%, Comedy: 5.75%, War: 4.60%, Mystery: 4.21%, Adventure: 4.21%, Crime: 3.83%, Fantasy: 3.83%, Animation: 3.83%, Sci-Fi: 3.45%, Romance: 2.30%, Family: 1.92%, Horror: 1.15%, History: 0.77%, Western: 0.77%, Sport: 0.38%, Biography: 0.38%, Musical: 0.38%"
Amadeus,Drama,28.061224489795915,"Drama: 28.06%, Fantasy: 12.76%, Adventure: 11.73%, Family: 6.63%, Comedy: 6.63%, Animation: 6.12%, Action: 5.10%, Thriller: 4.08%, Sci-Fi: 3.57%, Mystery: 3.06%, Romance: 3.06%, Horror: 2.55%, Crime: 2.04%, Music: 1.53%, Biography: 1.02%, Western: 0.51%, Sport: 0.51%, Film-Noir: 0.51%, Musical: 0.51%"
American Beauty,Drama,43.11377245508982,"Drama: 43.11%, Comedy: 12.57%, Thriller: 5.39%, Adventure: 5.39%, Action: 5.39%, Crime: 4.79%, Sci-Fi: 4.79%, Romance: 3.59%, Fantasy: 2.99%, Biography: 2.40%, Mystery: 2.40%, Family: 2.40%, War: 1.80%, Animation: 1.20%, Horror: 0.60%, Sport: 0.60%, Short: 0.60%"
American History X,Drama,36.507936507936506,"Drama: 36.51%, Fantasy: 10.71%, Comedy: 9.92%, Adventure: 8.33%, Action: 8.33%, Animation: 4.76%, Sci-Fi: 4.37%, Family: 3.97%, Romance: 3.57%, Thriller: 2.78%, War: 1.98%, Horror: 1.59%, Mystery: 1.19%, Crime: 1.19%, Music: 0.40%, Short: 0.40%"
Amores Perros,Drama,40.24691358024691,"Drama: 40.25%, Comedy: 7.90%, Action: 6.42%, Adventure: 6.42%, Thriller: 5.68%, Family: 4.69%, Fantasy: 4.69%, Sci-Fi: 4.69%, Mystery: 3.70%, Crime: 3.46%, Animation: 3.21%, Romance: 2.22%, Horror: 1.98%, Sport: 1.48%, War: 1.48%, Biography: 0.99%, Music: 0.49%, Musical: 0.25%"
Amélie,Drama,29.891304347826086,"Drama: 29.89%, Comedy: 10.87%, Thriller: 9.78%, Adventure: 9.24%, Romance: 6.52%, Fantasy: 5.43%, Crime: 4.89%, Family: 4.35%, Action: 4.35%, Mystery: 3.80%, Sci-Fi: 3.80%, Animation: 2.72%, Horror: 2.17%, War: 1.09%, Sport: 0.54%, Biography: 0.54%"
Andhadhun,Drama,42.99065420560748,"Drama: 42.99%, Adventure: 8.41%, Sci-Fi: 6.54%, Comedy: 6.54%, Thriller: 6.54%, Crime: 4.67%, Action: 4.67%, Family: 3.74%, Fantasy: 3.74%, Mystery: 3.74%, Musical: 1.87%, Animation: 1.87%, Biography: 0.93%, Music: 0.93%, War: 0.93%, Romance: 0.93%, Horror: 0.93%"
Animal,Drama,29.906542056074763,"Drama: 29.91%, Thriller: 11.21%, Comedy: 10.75%, Action: 7.94%, Fantasy: 7.01%, Adventure: 6.54%, Mystery: 5.61%, Family: 3.74%, Crime: 3.27%, Animation: 2.80%, Horror: 2.80%, War: 2.80%, Sci-Fi: 2.34%, Romance: 1.40%, Music: 0.93%, Biography: 0.93%"
