Name,Similar Movies
Like Stars on Earth,"Chak De! India, My Father and My Son, Children of Heaven, Up, English Vinglish, Toy Story, Ratatouille, Finding Nemo, Harry Potter and the Deathly Hallows: Part 2, Toy Story 3, WALL·E, Coco"
Bicycle Thieves,"Metropolis, M, Citizen Kane, The Bicycle Thief, North by Northwest, Rashomon, Vertigo, A Separation, Judgment at Nuremberg, Umberto D., Wild Strawberries, Hamilton"
The Wolf of Wall Street,"Shutter Island, Django Unchained, Fight Club, Inception, Inglourious Basterds, Catch Me If You Can, Forrest Gump, Pulp Fiction, Joker, The Dark Knight, The Truman Show, The Dark Knight Rises"
Spider-Man: No Way Home,"Spider-Man: Far from Home, Spider-Man: Homecoming, Avengers: Endgame, Avengers: Infinity War, Spider-Man, The Avengers, The Amazing Spider-Man, Captain America: Civil War, Spider-Man: Across the Spider-Verse, Spider-Man 2, Thor: Ragnarok, Doctor Strange in the Multiverse of Madness"
Jurassic Park,"The Lost World: Jurassic Park, Jurassic Park III, Jurassic World, Raiders of the Lost Ark, Star Wars: Episode VI - Return of the Jedi, Indiana Jones and the Last Crusade, Back to the Future, Pirates of the Caribbean: The Curse of the Black Pearl, Star Wars: Episode IV - A New Hope, Star Wars: Episode V - The Empire Strikes Back, The Terminator, Die Hard"
Top Gun: Maverick,"Top Gun, Oppenheimer, Avengers: Endgame, The Wolf of Wall Street, Spider-Man: No Way Home, Avengers: Infinity War, Forrest Gump, Inception, 1917, The Dark Knight Rises, Joker, Catch Me If You Can"
The Thing,"The Thing, Alien, The Exorcist, The Shining, Aliens, The Fly, Halloween, The Terminator, Blade Runner, Predator, Jaws, Psycho"
Prisoners,"Shutter Island, Nightcrawler, Gone Girl, Se7en, No Country for Old Men, The Prestige, The Wolf of Wall Street, Zodiac, Inglourious Basterds, Django Unchained, Memento, Catch Me If You Can"
Shutter Island,"The Wolf of Wall Street, Inception, Se7en, Fight Club, Django Unchained, Catch Me If You Can, Inglourious Basterds, The Truman Show, Forrest Gump, The Prestige, Pulp Fiction, The Departed"
The Sixth Sense,"A Beautiful Mind, The Truman Show, Shutter Island, Unbreakable, Signs, American Beauty, Die Hard, Good Will Hunting, Jurassic Park, Kill Bill: Vol. 1, Pan's Labyrinth, The Village"
Batman Begins,"The Dark Knight Rises, The Dark Knight, The Wolf of Wall Street, Avengers: Infinity War, Inception, Avengers: Endgame, The Batman, Joker, Shutter Island, Spider-Man: No Way Home, Django Unchained, Fight Club"
Unforgiven,"Gran Torino, Million Dollar Baby, For a Few Dollars More, The Deer Hunter, Platoon, The Bridge on the River Kwai, Pale Rider, The Good, the Bad and the Ugly, Unforgiven, Ben-Hur, Casino, Die Hard"
No Country for Old Men,"Inglourious Basterds, There Will Be Blood, Reservoir Dogs, Django Unchained, Shutter Island, Prisoners, Taxi Driver, The Departed, Catch Me If You Can, The Wolf of Wall Street, Scarface, Se7en"
Taxi Driver,"Green Book, Once Upon a Time in the West, Hamilton, Scarface, Goodfellas, Shutter Island, Raging Bull, The Wolf of Wall Street, L.A. Confidential, Fight Club, A Clockwork Orange, Casino"
Die Hard,"Die Hard 2, Die Hard with a Vengeance, Indiana Jones and the Last Crusade, The Terminator, Jurassic Park, Raiders of the Lost Ark, Live Free or Die Hard, Star Wars: Episode VI - Return of the Jedi, Braveheart, Terminator 2: Judgment Day, Back to the Future, A Good Day to Die Hard"
Green Book,"Hamilton, Taxi Driver, Once Upon a Time in the West, The Intouchables, The Green Book: Guide to Freedom, Good Will Hunting, 1917, L.A. Confidential, The Wolf of Wall Street, Catch Me If You Can, The Truman Show, Forrest Gump"
The Truman Show,"Shutter Island, Catch Me If You Can, The Wolf of Wall Street, Forrest Gump, Fight Club, Inglourious Basterds, Good Will Hunting, Eternal Sunshine of the Spotless Mind, Inception, Pulp Fiction, Django Unchained, Se7en"
There Will Be Blood,"No Country for Old Men, Casino, Phantom Thread, Taxi Driver, Reservoir Dogs, Heat, Lincoln, Gangs of New York, Full Metal Jacket, A Beautiful Mind, My Left Foot, Django Unchained"
Full Metal Jacket,"A Clockwork Orange, 2001: A Space Odyssey, Barry Lyndon, Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb, Apocalypse Now, The Shining, Reservoir Dogs, Platoon, Scarface, Mission: Guerrero, A Boy Named Death, Little Luis"
1917,"Hacksaw Ridge, Dunkirk, Inglourious Basterds, All Quiet on the Western Front, Saving Private Ryan, The Wolf of Wall Street, Django Unchained, Shutter Island, Green Book, Top Gun: Maverick, Oppenheimer, Joker"
A Clockwork Orange,"Full Metal Jacket, 2001: A Space Odyssey, The Shining, Barry Lyndon, Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb, Taxi Driver, Reservoir Dogs, Requiem for a Dream, Eyes Wide Shut, Mission: Guerrero, Death's Sonata, A Boy Named Death"
Snatch,"Lock, Stock and Two Smoking Barrels, Reservoir Dogs, Trainspotting, Die Hard, No Country for Old Men, Scarface, Inglourious Basterds, Full Metal Jacket, The Usual Suspects, Snatch, The Wolf of Wall Street, Taxi Driver"
Casino,"Goodfellas, Scarface, Heat, Raging Bull, Reservoir Dogs, There Will Be Blood, The Departed, Taxi Driver, No Country for Old Men, Snatch, The Irishman, The Wolf of Wall Street"
Kill Bill: Vol. 1,"Kill Bill: Vol. 2, Reservoir Dogs, Pulp Fiction, Inglourious Basterds, Django Unchained, Kill Bill: The Whole Bloody Affair, Catch Me If You Can, The Truman Show, The Wolf of Wall Street, No Country for Old Men, The Hateful Eight, Shutter Island"
Pan's Labyrinth,"V for Vendetta, Amélie, The Sixth Sense, A Clockwork Orange, The Shape of Water, Kill Bill: Vol. 1, Requiem for a Dream, Jurassic Park, No Country for Old Men, Trainspotting, The Truman Show, A Beautiful Mind"
Howl's Moving Castle,"Spirited Away, My Neighbor Totoro, Kiki's Delivery Service, Ponyo, Castle in the Sky, The Secret World of Arrietty, Ratatouille, Monsters, Inc., WALL·E, Up, Finding Nemo, Whisper of the Heart"
A Beautiful Mind,"V for Vendetta, Rashomon, Eternal Sunshine of the Spotless Mind, Good Will Hunting, Rocky, The Elephant Man, Catch Me If You Can, Mary and Max, Prisoners, The Truman Show, American Beauty, Shutter Island"
Finding Nemo,"Monsters, Inc., Up, Ratatouille, The Incredibles, Toy Story, Toy Story 3, Finding Dory, WALL·E, Inside Out, The Lion King, How to Train Your Dragon, Cars"
Downfall,"1917, The Lives of Others, A Beautiful Mind, Das Boot, Gran Torino, Full Metal Jacket, The Pianist, There Will Be Blood, Snatch, Braveheart, The Hunt, Heat"
Gone with the Wind,"Ben-Hur, Casablanca, It Happened One Night, The Bridge on the River Kwai, Citizen Kane, Some Like It Hot, Scarlett, Singin' in the Rain, Lawrence of Arabia, On the Waterfront, Rebecca, Mr. Smith Goes to Washington"
L.A. Confidential,"Taxi Driver, Green Book, Who Killed Billie-Jo, Car Crash: Who's Lying?, How to Create a Sex Scandal, Undercurrent: The Disappearance of Kim Wall, White Jazz, A Dangerous Son, Mind Over Murder, Interstellar, The Usual Suspects, In the Name of the Father"
Indiana Jones and the Last Crusade,"Raiders of the Lost Ark, Indiana Jones and the Temple of Doom, Indiana Jones and the Kingdom of the Crystal Skull, Star Wars: Episode VI - Return of the Jedi, Jurassic Park, Die Hard, Indiana Jones and the Dial of Destiny, Star Wars: Episode V - The Empire Strikes Back, Star Wars: Episode IV - A New Hope, Back to the Future, The Terminator, Pirates of the Caribbean: The Curse of the Black Pearl"
Klaus,"Coco, Ratatouille, Up, How to Train Your Dragon, The Iron Giant, Finding Nemo, WALL·E, Monsters, Inc., Spider-Man: Into the Spider-Verse, Howl's Moving Castle, My Neighbor Totoro, Inside Out"
The Father,"12 Years a Slave, Green Book, 1917, A Beautiful Mind, Amélie, There Will Be Blood, Room, The Hunt, Three Billboards Outside Ebbing, Missouri, Spotlight, A Separation, The Son"
The Great Escape,"The Bridge on the River Kwai, Ben-Hur, Cool Hand Luke, The Sting, The Treasure of the Sierra Madre, The Great Escape, To Kill a Mockingbird, The Great Escape II: The Untold Story, Monty Python and the Holy Grail, The Deer Hunter, Gone with the Wind, Unforgiven"
The Secret in Their Eyes,"Wild Tales, Hotel Rwanda, The Lives of Others, Secret in Their Eyes, Nine Queens, Incendies, Raging Bull, Amores Perros, In the Name of the Father, V for Vendetta, Room, Rashomon"
Monty Python and the Holy Grail,"Monty Python's Life of Brian, The Meaning of Life, Indiana Jones and the Last Crusade, Jaws, Groundhog Day, Monty Python's Flying Circus, Raiders of the Lost Ark, The Big Lebowski, Die Hard, Jurassic Park, Monty Python Live at the Hollywood Bowl, Monty Python's and Now for Something Completely Different"
Some Like It Hot,"The Apartment, All About Eve, Singin' in the Rain, The Seven Year Itch, Gone with the Wind, Sunset Boulevard, Double Indemnity, North by Northwest, Dial M for Murder, The Sting, Gentlemen Prefer Blondes, Casablanca"
The Elephant Man,"Rashomon, Mary and Max, A Beautiful Mind, Rocky, V for Vendetta, Eraserhead, Ctrl+Alt+Desire, Teen Torture, Inc., The Black Widower: The Six Wives of Thomas Randolph, Blue Velvet, Eternal Sunshine of the Spotless Mind, Prisoners"
For a Few Dollars More,"A Fistful of Dollars, The Good, the Bad and the Ugly, Once Upon a Time in the West, Unforgiven, Once Upon a Time in America, Duck, You Sucker!, Raging Bull, The Outlaw Josey Wales, Gran Torino, Hang 'Em High, High Plains Drifter, Ben-Hur"
Ran,"Yojimbo, Rashomon, Kagemusha: The Shadow Warrior, Ikiru, Seven Samurai, High and Low, Throne of Blood, The Hidden Fortress, Harakiri, Sanjuro, Barry Lyndon, The Treasure of the Sierra Madre"
All About Eve,"Some Like It Hot, The Treasure of the Sierra Madre, Double Indemnity, The Apartment, Sunset Boulevard, The Best Years of Our Lives, Rebecca, It Happened One Night, On the Waterfront, Mr. Smith Goes to Washington, Judgment at Nuremberg, The Bridge on the River Kwai"
Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train,"Demon Slayer: Kimetsu no Yaiba - Tsuzumi Mansion Arc, Demon Slayer: Kimetsu No Yaiba - To the Swordsmith Village, Demon Slayer: Kimetsu no Yaiba, Demon Slayer: Kimetsu no Yaiba - Mt. Natagumo Arc, Jujutsu Kaisen 0, Demon Slayer: Kimetsu No Yaiba - To the Hashira Training, Demon Slayer: Kimetsu no Yaiba - Sibling's Bond, Jujutsu Kaisen, Demon Slayer: Kimetsu no Yaiba - Asakusa Arc, Chainsaw Man, Solo Leveling, Naruto"
Rashomon,"Yojimbo, The Elephant Man, Ran, Ikiru, Mary and Max, A Beautiful Mind, Seven Samurai, Throne of Blood, High and Low, V for Vendetta, The Hidden Fortress, Ctrl+Alt+Desire"
Dial M for Murder,"North by Northwest, Rear Window, Strangers on a Train, Rope, Vertigo, To Catch a Thief, Rebecca, The Man Who Knew Too Much, Notorious, Shadow of a Doubt, The Birds, Double Indemnity"
Yojimbo,"Sanjuro, Rashomon, Ran, High and Low, The Hidden Fortress, Seven Samurai, The Treasure of the Sierra Madre, Throne of Blood, Ikiru, The Great Escape, Red Beard, Harakiri"
Children of Heaven,"The Color of Paradise, Like Stars on Earth, The Song of Sparrows, My Father and My Son, Where Is the Friend's House?, The Kid, Hachi: A Dog's Tale, Klaus, Noora (The Kiss of Life), Naneh Lala va bacheharesh, My Neighbor Totoro, Finding Nemo"
The Treasure of the Sierra Madre,"The Great Escape, Yojimbo, All About Eve, Double Indemnity, The Grapes of Wrath, The Maltese Falcon, The Bridge on the River Kwai, The Best Years of Our Lives, Mr. Smith Goes to Washington, On the Waterfront, The Wages of Fear, Cool Hand Luke"
A Man Escaped,"Pickpocket, Au hasard Balthazar, Diary of a Country Priest, Mouchette, L'Argent, The Hole, The Trial of Joan of Arc, Ordet, Autumn Sonata, The Wages of Fear, The Cranes Are Flying, Ugetsu"
My Father and My Son,"My Grandfather's People, Like Stars on Earth, Children of Heaven, Happy Days, Hachi: A Dog's Tale, Our Family, Up, How to Train Your Dragon, Finding Nemo, The Sound of Music, The Incredibles, Boats Out of Watermelon Rinds"
The Kid,"The Circus, Monsters, Inc., Children of Heaven, It's a Wonderful Life, The Wizard of Oz, Toy Story 3, The Kid, Finding Nemo, Toy Story, A Boy of Flanders, My Neighbor Totoro, Up"
Sherlock Jr.,"The General, The Gold Rush, The Navigator, The Passion of Joan of Arc, Seven Chances, City Lights, Our Hospitality, Wild Strawberries, To Be or Not to Be, Metropolis, The Wages of Fear, Modern Times"
V for Vendetta,"A Beautiful Mind, The Truman Show, Kill Bill: Vol. 1, Pirates of the Caribbean: The Curse of the Black Pearl, Pan's Labyrinth, No Country for Old Men, Léon: The Professional, The Matrix, 'V for Vendetta' Unmasked, Mad Max: Fury Road, Shutter Island, Catch Me If You Can"
Pirates of the Caribbean: The Curse of the Black Pearl,"Pirates of the Caribbean: Dead Man's Chest, Pirates of the Caribbean: At World's End, Pirates of the Caribbean: On Stranger Tides, Pirates of the Caribbean: Dead Men Tell No Tales, The Lord of the Rings: The Two Towers, Pirates of the Caribbean: Tales of the Code: Wedlocked, Jurassic Park, The Lord of the Rings: The Fellowship of the Ring, Star Wars: Episode VI - Return of the Jedi, Avengers: Infinity War, The Lord of the Rings: The Return of the King, Batman Begins"
Dead Poets Society,"In the Name of the Father, Good Will Hunting, Gone Girl, The Truman Show, Kaos, Dead Poets Society, The Grand Budapest Hotel, A Beautiful Mind, Catch Me If You Can, Eternal Sunshine of the Spotless Mind, Beetlejuice, Life Is Beautiful"
Inside Out,"Inside Out 2, Up, Monsters, Inc., Ratatouille, Finding Nemo, Coco, The Incredibles, WALL·E, Toy Story 3, Toy Story, How to Train Your Dragon, The Lion King"
Harry Potter and the Deathly Hallows: Part 2,"Harry Potter and the Deathly Hallows: Part 1, Harry Potter and the Half-Blood Prince, Harry Potter and the Order of the Phoenix, Harry Potter and the Goblet of Fire, Harry Potter and the Prisoner of Azkaban, Harry Potter and the Chamber of Secrets, Harry Potter and the Sorcerer's Stone, Finding Nemo, Monsters, Inc., Up, Ratatouille, The Incredibles"
Mad Max: Fury Road,"Furiosa: A Mad Max Saga, Logan, The Wolf of Wall Street, Inglourious Basterds, Django Unchained, Pirates of the Caribbean: The Curse of the Black Pearl, The Dark Knight Rises, Catch Me If You Can, Shutter Island, The Matrix, Joker, Top Gun: Maverick"
The Wizard of Oz,"The Sound of Music, The Incredibles, Finding Nemo, Monsters, Inc., Toy Story, Ratatouille, The Wizard of Oz, The Lion King, Toy Story 3, How to Train Your Dragon, Up, Harry Potter and the Deathly Hallows: Part 2"
The Exorcist,"The Shining, The Thing, The Texas Chain Saw Massacre, Jaws, A Nightmare on Elm Street, Rosemary's Baby, Halloween, Psycho, Exorcist II: The Heretic, The Terminator, The Exorcist III, Friday the 13th"
The Handmaiden,"Memories of Murder, Oldboy, Lady Vengeance, Decision to Leave, Sympathy for Mr. Vengeance, Parasite, Mother, Thirst, The Secret in Their Eyes, Amores Perros, Gone Girl, Burning"
The Big Lebowski,"Fargo, No Country for Old Men, Trainspotting, Lock, Stock and Two Smoking Barrels, Groundhog Day, Reservoir Dogs, The Grand Budapest Hotel, Snatch, Gran Torino, The Big Lebowski 2, Full Metal Jacket, Monty Python and the Holy Grail"
Hacksaw Ridge,"1917, Fury, Saving Private Ryan, Catch Me If You Can, Shutter Island, Inglourious Basterds, The Wolf of Wall Street, Django Unchained, Top Gun: Maverick, Prisoners, Ford v Ferrari, 12 Years a Slave"
Gone Girl,"In the Name of the Father, Prisoners, Dead Poets Society, Shutter Island, Se7en, Catch Me If You Can, Zodiac, The Prestige, No Country for Old Men, Memento, A Beautiful Mind, The Grand Budapest Hotel"
Ratatouille,"Monsters, Inc., Up, Finding Nemo, The Incredibles, WALL·E, Toy Story, Toy Story 3, How to Train Your Dragon, Inside Out, Coco, The Lion King, Cars"
Catch Me If You Can,"The Wolf of Wall Street, Shutter Island, The Truman Show, Forrest Gump, Django Unchained, Inglourious Basterds, Good Will Hunting, Inception, Fight Club, A Beautiful Mind, Pulp Fiction, The Departed"
Jaws,"Jurassic Park, Rocky, The Terminator, Jaws 2, Indiana Jones and the Last Crusade, Raiders of the Lost Ark, Monty Python and the Holy Grail, Die Hard, Star Wars: Episode VI - Return of the Jedi, Pirates of the Caribbean: The Curse of the Black Pearl, Groundhog Day, Star Wars: Episode IV - A New Hope"
Blade Runner,"Blade Runner 2049, The Terminator, 2001: A Space Odyssey, Die Hard, Indiana Jones and the Last Crusade, Raiders of the Lost Ark, Mad Max: Fury Road, Star Wars: Episode VI - Return of the Jedi, Kill Bill: Vol. 1, Alien, Reservoir Dogs, 2036: Nexus Dawn"
The Terminator,"Terminator 2: Judgment Day, Terminator 3: Rise of the Machines, Terminator Salvation, Die Hard, Terminator Genisys, Jurassic Park, Terminator: Dark Fate, Pirates of the Caribbean: The Curse of the Black Pearl, Back to the Future, Indiana Jones and the Last Crusade, Rocky, Star Wars: Episode VI - Return of the Jedi"
Stand by Me,"Groundhog Day, Dead Poets Society, Into the Wild, Jaws, The Big Lebowski, Platoon, Dark Blood, Trainspotting, My Own Private Idaho, Good Will Hunting, Jurassic Park, Rocky"
The Help,"Room, Hidden Figures, 12 Years a Slave, Hotel Rwanda, The Help, Million Dollar Baby, Into the Wild, Spotlight, Groundhog Day, Gone Girl, Three Billboards Outside Ebbing, Missouri, Jurassic Park"
The Grand Budapest Hotel,"The Truman Show, The French Dispatch, Catch Me If You Can, Gone Girl, No Country for Old Men, 12 Years a Slave, Dead Poets Society, Inglourious Basterds, The Royal Tenenbaums, Shutter Island, The Big Lebowski, A Clockwork Orange"
Platoon,"Full Metal Jacket, The Deer Hunter, Apocalypse Now, Born on the Fourth of July, Unforgiven, The Bridge on the River Kwai, Rocky, The Big Lebowski, Gran Torino, The Terminator, Die Hard, Heaven & Earth"
Logan,"Deadpool, Deadpool 2, Avengers: Infinity War, The Wolverine, Spider-Man: No Way Home, X-Men: Days of Future Past, Avengers: Endgame, X-Men: First Class, X-Men Origins: Wolverine, X-Men: Apocalypse, X-Men, Batman Begins"
The Deer Hunter,"Platoon, Raging Bull, Apocalypse Now, Full Metal Jacket, Unforgiven, Once Upon a Time in America, On the Waterfront, The Bridge on the River Kwai, Casino, Heaven's Gate, Chinatown, Ben-Hur"
"Monsters, Inc.","Finding Nemo, Ratatouille, The Incredibles, Monsters University, Up, Toy Story, Toy Story 3, WALL·E, Inside Out, How to Train Your Dragon, Toy Story 2, The Lion King"
Fargo,"The Big Lebowski, No Country for Old Men, Trainspotting, Fargo, Reservoir Dogs, Fargo, Three Billboards Outside Ebbing, Missouri, Lock, Stock and Two Smoking Barrels, Gran Torino, Snatch, Groundhog Day, Full Metal Jacket"
Trainspotting,"T2 Trainspotting, Lock, Stock and Two Smoking Barrels, Snatch, The Big Lebowski, A Clockwork Orange, Requiem for a Dream, Fargo, Kill Bill: Vol. 1, Full Metal Jacket, Reservoir Dogs, The Truman Show, Gran Torino"
Into the Wild,"A Beautiful Mind, Gran Torino, 12 Years a Slave, Million Dollar Baby, Hotel Rwanda, Groundhog Day, Rush, Dead Poets Society, Spotlight, Good Will Hunting, The Truman Show, Catch Me If You Can"
Memories of Murder,"Oldboy, Mother, I Saw the Devil, The Handmaiden, Parasite, The Chaser, Burning, The Host, Prisoners, The Wailing, The Hunt, Sympathy for Mr. Vengeance"
"Paris, Texas","Wings of Desire, Perfect Days, Barry Lyndon, Wild Strawberries, Amores Perros, La haine, The American Friend, Fallen Angels, Mulholland Drive, Persona, Blue Velvet, Tokyo Story"
Ford v Ferrari,"Rush, Top Gun: Maverick, 1917, The Wolf of Wall Street, Catch Me If You Can, Hacksaw Ridge, Green Book, Ford v Ferrari - What really happened, Oppenheimer, Pirates of the Caribbean: The Curse of the Black Pearl, The Dark Knight Rises, Logan"
The Sound of Music,"Mary Poppins, The Wizard of Oz, The Incredibles, Finding Nemo, Monsters, Inc., How to Train Your Dragon, My Fair Lady, Ratatouille, Toy Story, The Lion King, Harry Potter and the Deathly Hallows: Part 2, It's a Wonderful Life"
How to Train Your Dragon,"How to Train Your Dragon 2, How to Train Your Dragon: The Hidden World, Ratatouille, Monsters, Inc., The Incredibles, Up, Finding Nemo, WALL·E, Toy Story, Toy Story 3, Inside Out, The Lion King"
Warrior,"Million Dollar Baby, Rush, Gran Torino, The Fighter, Mad Max: Fury Road, Warrior, Ford v Ferrari, Hacksaw Ridge, Snatch, Prisoners, 12 Years a Slave, Voin"
"Three Billboards Outside Ebbing, Missouri","The Grand Budapest Hotel, Fargo, 12 Years a Slave, Spotlight, No Country for Old Men, Gran Torino, The Banshees of Inisherin, Green Book, Gone Girl, Lock, Stock and Two Smoking Barrels, There Will Be Blood, The Big Lebowski"
Rocky,"Rocky II, Rocky III, Rocky IV, Mary and Max, The Elephant Man, Rashomon, A Beautiful Mind, Rocky V, V for Vendetta, Rocky Balboa, Prisoners, Eternal Sunshine of the Spotless Mind"
12 Years a Slave,"Million Dollar Baby, A Beautiful Mind, Hacksaw Ridge, Gran Torino, The Grand Budapest Hotel, Catch Me If You Can, Spotlight, 1917, Gone Girl, Green Book, The Intouchables, Django Unchained"
Before Sunrise,"Before Sunset, Before Midnight, Amélie, Before Sunrise, Eternal Sunshine of the Spotless Mind, Into the Wild, Dead Poets Society, Good Will Hunting, Boyhood, The Grand Budapest Hotel, 500 Days of Summer, Gone Girl"
Million Dollar Baby,"Gran Torino, 12 Years a Slave, A Beautiful Mind, Unforgiven, Rocky, Warrior, Jurassic Park, Catch Me If You Can, V for Vendetta, Braveheart, No Country for Old Men, Cry Macho"
Network,"On the Waterfront, Cool Hand Luke, Chinatown, The Best Years of Our Lives, The Grapes of Wrath, Dog Day Afternoon, The Wages of Fear, Mr. Smith Goes to Washington, Wild Strawberries, To Be or Not to Be, Barry Lyndon, The Third Man"
Spotlight,"12 Years a Slave, Room, Three Billboards Outside Ebbing, Missouri, Million Dollar Baby, Rush, Birdman or (The Unexpected Virtue of Ignorance), A Beautiful Mind, Into the Wild, The King's Speech, Hotel Rwanda, The Grand Budapest Hotel, Gran Torino"
Room,"Spotlight, The Help, 12 Years a Slave, A Beautiful Mind, Mary and Max, Gone Girl, V for Vendetta, Into the Wild, The Elephant Man, Logan, Three Billboards Outside Ebbing, Missouri, Prisoners"
Rush,"Ford v Ferrari, Warrior, 12 Years a Slave, Hunt vs Lauda: F1's Greatest Racing Rivals, Hacksaw Ridge, Spotlight, Pirates of the Caribbean: The Curse of the Black Pearl, Into the Wild, Gran Torino, Catch Me If You Can, Million Dollar Baby, 1917"
The Best Years of Our Lives,"The Grapes of Wrath, To Be or Not to Be, It Happened One Night, Mr. Smith Goes to Washington, Rebecca, All About Eve, The Treasure of the Sierra Madre, The Wages of Fear, The Battle of Algiers, On the Waterfront, The Bridge on the River Kwai, The Passion of Joan of Arc"
"Lock, Stock and Two Smoking Barrels","Snatch, RocknRolla, Trainspotting, The Big Lebowski, Lock, Stock..., Reservoir Dogs, Die Hard, Kill Bill: Vol. 1, Gran Torino, Fargo, The Gentlemen, Full Metal Jacket"
Gran Torino,"Million Dollar Baby, Unforgiven, 12 Years a Slave, Cry Macho, Gran Torino: Next Door, The Mule, No Country for Old Men, The Big Lebowski, Into the Wild, Catch Me If You Can, A Beautiful Mind, V for Vendetta"
Chinatown,"Raging Bull, Vertigo, The Deer Hunter, Network, Rear Window, Fargo, Apocalypse Now, The Sting, Citizen Kane, The Two Jakes, Unforgiven, The Elephant Man"
My Neighbor Totoro,"Howl's Moving Castle, Spirited Away, Ponyo, Kiki's Delivery Service, Castle in the Sky, The Secret World of Arrietty, Whisper of the Heart, Up, Monsters, Inc., From Up on Poppy Hill, Ratatouille, The Cat Returns"
Wild Tales,"The Secret in Their Eyes, Amores Perros, Wild Tales, Room, Nine Queens, Super Deluxe, Three Billboards Outside Ebbing, Missouri, Memories of Murder, The Lives of Others, A Separation, Capernaum, 12 Years a Slave"
Ben-Hur,"The Bridge on the River Kwai, Gone with the Wind, The Firing Squad, Lawrence of Arabia, Spartacus, Ben-Hur, The Great Escape, On the Waterfront, The Deer Hunter, Unforgiven, The Best Years of Our Lives, Barry Lyndon"
The Third Man,"Double Indemnity, On the Waterfront, The Grapes of Wrath, The Treasure of the Sierra Madre, The Maltese Falcon, Touch of Evil, Wild Strawberries, Sunset Boulevard, The Wages of Fear, To Be or Not to Be, Mr. Smith Goes to Washington, All About Eve"
Barry Lyndon,"2001: A Space Odyssey, Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb, A Clockwork Orange, A Boy Named Death, Little Luis, Closure, Lolita, Full Metal Jacket, Mission: Guerrero, Spartacus, Death's Sonata, Paths of Glory"
The Seventh Seal,"Wild Strawberries, Persona, Rashomon, Fanny and Alexander, The Seventh Seal, Barry Lyndon, Cries & Whispers, Yojimbo, Autumn Sonata, Stalker, The Passion of Joan of Arc, The Third Man"
Hachi: A Dog's Tale,"Ratatouille, Finding Nemo, Up, How to Train Your Dragon, Monsters, Inc., The Incredibles, The Lion King, Toy Story, WALL·E, Harry Potter and the Deathly Hallows: Part 2, Toy Story 3, Hachi-ko"
The Iron Giant,"The Incredibles, Ratatouille, Klaus, WALL·E, Monsters, Inc., Finding Nemo, Up, How to Train Your Dragon, Toy Story, Toy Story 3, Toy Story 2, My Neighbor Totoro"
Raging Bull,"Casino, The Deer Hunter, Taxi Driver, Goodfellas, Once Upon a Time in America, Heat, The Bronx Bull, Scarface, Reservoir Dogs, Chinatown, Fargo, Apocalypse Now"
La haine,"Trainspotting, The Big Lebowski, Raging Bull, City of God, A Clockwork Orange, The Seventh Seal, Amores Perros, Barry Lyndon, La haine, Taxi Driver, The Grand Budapest Hotel, Kill Bill: Vol. 1"
In the Name of the Father,"Dead Poets Society, Gone Girl, My Left Foot, The Boxer, L.A. Confidential, Teen Torture, Inc., Ctrl+Alt+Desire, Taxi Driver, The Black Widower: The Six Wives of Thomas Randolph, Green Book, Dune: Part Two, There Will Be Blood"
Before Sunset,"Before Sunrise, Before Midnight, Amélie, Into the Wild, Before Sunrise, Dead Poets Society, Eternal Sunshine of the Spotless Mind, Room, Amores Perros, Boyhood, The Grand Budapest Hotel, Groundhog Day"
Mary and Max,"Rocky, Eternal Sunshine of the Spotless Mind, Harvie Krumpet, The Elephant Man, Rashomon, L.A. Confidential, Memoir of a Snail, Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb, V for Vendetta, Ctrl+Alt+Desire, Teen Torture, Inc., The Black Widower: The Six Wives of Thomas Randolph"
On the Waterfront,"The Bridge on the River Kwai, A Streetcar Named Desire, Ben-Hur, The Grapes of Wrath, The Treasure of the Sierra Madre, The Best Years of Our Lives, All About Eve, It Happened One Night, Cool Hand Luke, The Deer Hunter, Gone with the Wind, Mr. Smith Goes to Washington"
Rebecca,"The Grapes of Wrath, It Happened One Night, Dial M for Murder, Notorious, Shadow of a Doubt, The Best Years of Our Lives, North by Northwest, All About Eve, Strangers on a Train, Mr. Smith Goes to Washington, Rope, Suspicion"
The Bridge on the River Kwai,"Ben-Hur, The Great Escape, Lawrence of Arabia, On the Waterfront, Gone with the Wind, The Treasure of the Sierra Madre, Cool Hand Luke, The Sting, The Deer Hunter, Platoon, Unforgiven, The Best Years of Our Lives"
Mr. Smith Goes to Washington,"It Happened One Night, The Grapes of Wrath, The Best Years of Our Lives, The Treasure of the Sierra Madre, To Be or Not to Be, Rebecca, All About Eve, Cool Hand Luke, You Can't Take It with You, On the Waterfront, The Wages of Fear, Gone with the Wind"
Hotel Rwanda,"Reservoir Dogs, Mary and Max, Downfall, Spotlight, In the Name of the Father, Room, Into the Wild, Assembly Required, The Secret in Their Eyes, Million Dollar Baby, 12 Years a Slave, A Message for Peace: Making 'Hotel Rwanda'"
